Apr 15 04:27:05.167 [INFO] zmap: output module: csv
Starting module. Packet out size: 81
Apr 15 04:27:05.174 [INFO] recv: Data link layer Ethernet
 0:43 1% (1h01m left); send: 1153484 25.1 Kp/s (26.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:44 1% (1h01m left); send: 1179022 25.5 Kp/s (26.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:45 1% (1h01m left); send: 1203661 24.6 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:46 1% (1h01m left); send: 1228588 24.9 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:47 1% (1h01m left); send: 1254113 25.5 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:48 1% (1h01m left); send: 1279800 25.7 Kp/s (26.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:49 1% (1h01m left); send: 1305185 25.4 Kp/s (26.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:50 1% (1h01m left); send: 1332173 27.0 Kp/s (26.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:51 1% (1h01m left); send: 1361297 29.1 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:52 1% (1h01m left); send: 1391115 29.8 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:53 1% (1h01m left); send: 1418101 27.0 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:54 1% (1h01m left); send: 1443167 25.1 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:55 1% (1h01m left); send: 1469963 26.8 Kp/s (26.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:56 1% (1h01m left); send: 1491595 21.6 Kp/s (26.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:57 2% (1h02m left); send: 1511457 19.9 Kp/s (26.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:58 2% (1h02m left); send: 1532257 20.8 Kp/s (26.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:59 2% (1h02m left); send: 1552840 20.6 Kp/s (26.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:00 2% (1h02m left); send: 1573153 20.3 Kp/s (26.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:01 2% (1h02m left); send: 1596493 23.3 Kp/s (26.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:02 2% (1h03m left); send: 1618002 21.5 Kp/s (26.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:03 2% (1h03m left); send: 1640074 22.1 Kp/s (26.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:04 2% (1h03m left); send: 1661279 21.2 Kp/s (25.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:05 2% (1h03m left); send: 1682014 20.7 Kp/s (25.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
