Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:urgptr:5857]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-wscale:114]-fragment{ip:-1:True}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-uto:108]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:64585]-tamper{TCP:options-wscale:replace:255}-|,1,[-10]
-10.0,"[TCP:options-mss:50793]-tamper{TCP:options-wscale:replace:142}(tamper{TCP:chksum:replace:24937}(tamper{TCP:options-uto:replace:66},),)-|",1,[-10]
-10.0,"[TCP:window:50:4]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-sackok:]-tamper{TCP:reserved:corrupt}-|",1,[-10]
-10.0,"[TCP:options-timestamp:2445412353]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:4400]-duplicate(drop,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,[TCP:options-altchksum:57]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:dport:53980]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:40726]-tamper{TCP:dport:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-uto:1]-tamper{TCP:options-sack:replace:}(fragment{tcp:1:True:23},)-|",1,[-10]
-10.0,[TCP:options-uto:90]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:window:30:4]-drop-|,1,[-10]
-10.0,"[TCP:ack:483761634]-fragment{tcp:-1:True}(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:26042]-tamper{TCP:flags:corrupt}(tamper{TCP:urgptr:replace:13912}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-mss:36159]-fragment{tcp:-1:True}(fragment{tcp:-1:True}(tamper{TCP:sport:replace:31921},),)-|",1,[-10]
-10.0,[TCP:dport:48539]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,"[TCP:window:190]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3703248157]-fragment{tcp:-1:False}(tamper{TCP:sport:replace:15735},tamper{TCP:dataofs:replace:13})-|",1,[-10]
-10.0,[TCP:flags:FSRAUEC:0]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-altchksum:150:0]-tamper{TCP:options-uto:replace:232}-|",1,[-10]
-10.0,"[TCP:options-uto:115:1]-tamper{TCP:options-nop:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:19229]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:2117389585]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:13516]-duplicate(duplicate,tamper{TCP:dport:replace:29888})-|",1,[-10]
-10.0,"[TCP:dport:44796]-fragment{tcp:-1:True}(fragment{tcp:40:False:20},)-|",1,[-10]
-10.0,[TCP:options-wscale:167]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dport:57306]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:flags:FRPUEC]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:hr26aoc9mw]-duplicate(,fragment{tcp:1:True})-|",1,[-10]
-10.0,"[TCP:urgptr:47112]-tamper{TCP:dataofs:replace:15}(fragment{tcp:-1:True}(tamper{TCP:load:replace:__HTTP_REQUEST__},),)-|",1,[-10]
-10.0,[TCP:dport:3917]-tamper{TCP:options-md5header:replace:410ee694e68775697242245f7cc03a45}-|,1,[-10]
-10.0,"[TCP:options-wscale:243]-tamper{TCP:dataofs:corrupt}(tamper{TCP:flags:replace:PA},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1914786391]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:13:2]-duplicate-|,1,[-10]
-10.0,"[TCP:dport:58914]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1270030165]-tamper{TCP:options-md5header:replace:a1255a17e93eb8b2d38ccd64351f20e5}(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:45289]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:chksum:replace:967}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,[TCP:options-altchksum:44]-drop-|,1,[-10]
