Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:reserved:3]-tamper{TCP:options-mss:corrupt}(tamper{TCP:dataofs:replace:11}(tamper{TCP:sport:corrupt},),)-|",1,[-10]
-10.0,"[TCP:sport:57179]-tamper{TCP:window:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:dport:60059]-duplicate(fragment{tcp:-1:True}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:ack:282240609]-tamper{TCP:dport:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,[TCP:options-mss:18342]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:22]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-md5header:3837ddfd1d5248f00f428f461a072fbc]-tamper{TCP:dport:replace:1285}(duplicate(,tamper{TCP:options-md5header:corrupt}),)-|",1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:load:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:34019]-tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:flags:F]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,[TCP:flags:F]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:29147]-tamper{TCP:window:corrupt}(fragment{tcp:45:True:22},)-|",1,[-10]
-10.0,"[TCP:ack:3297828516]-duplicate(,tamper{TCP:urgptr:replace:19289})-|",1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:load:corrupt}(fragment{tcp:-1:True}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:dataofs:13]-fragment{tcp:-1:False}(,tamper{TCP:options-mss:replace:48120})-|",1,[-10]
-10.0,[TCP:options-md5header:9f8393f077693598c7b858136c6ef20d]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:options-timestamp:3794294599]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:urgptr:35576:0]-duplicate(,tamper{TCP:options-mss:replace:52088})-|",1,[-10]
-10.0,[TCP:options-altchksum:181:4]-drop-|,1,[-10]
-10.0,[TCP:options-uto:98]-duplicate-|,1,[-10]
-10.0,[TCP:options-md5header:85ae70db9e7d3845f2835dddaf9c3772]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:198162716]-tamper{TCP:dport:replace:21711}(drop,)-|",1,[-10]
-10.0,"[TCP:options-uto:191]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:False},),)-|",1,[-10]
