Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:window:30:2]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,"[TCP:seq:3633071613:0]-fragment{tcp:-1:False}(fragment{tcp:-1:False},tamper{TCP:options-sack:corrupt})-|",1,[-10]
-10.0,"[TCP:options-altchksum:77]-tamper{TCP:dataofs:replace:12}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:dport:65433]-tamper{TCP:reserved:replace:5}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-wscale:76:3]-duplicate(tamper{TCP:options-uto:replace:146},)-|",1,[-10]
-10.0,"[TCP:window:90:0]-fragment{tcp:-1:False}(,tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:RPUCN]-duplicate(tamper{TCP:options-wscale:replace:18},tamper{TCP:options-md5header:replace:3a7d1697293552cba06f229aa4b80898}(duplicate,))-|",1,[-10]
-10.0,[TCP:chksum:50872]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-mss:50536]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:ack:2188380099]-tamper{TCP:options-wscale:replace:33}(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:62623]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:q614pslhm0]-tamper{TCP:sport:replace:35782}(fragment{tcp:-1:False}(tamper{TCP:options-mss:replace:38639}(duplicate,),),)-|",1,[-10]
-10.0,[TCP:chksum:52033:1]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:7892]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:170]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:3379218486]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:173]-tamper{TCP:dport:replace:63281}(tamper{TCP:options-md5header:corrupt}(drop,),)-|",1,[-10]
-10.0,[TCP:dport:63344]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:53303]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-wscale:144]-fragment{tcp:3:False}(,tamper{TCP:reserved:replace:6})-|",1,[-10]
-10.0,"[TCP:options-mss:33595]-tamper{TCP:options-altchksum:replace:30}(tamper{TCP:urgptr:replace:62414}(drop,),)-|",1,[-10]
-10.0,"[TCP:options-md5header:dbd8d687a4e7f34eec9224b018893d8d]-duplicate(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:19]-tamper{TCP:window:corrupt}(tamper{TCP:load:replace:__DNS_REQUEST__},)-|",1,[-10]
-10.0,"[TCP:dport:34789]-duplicate(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:flags:corrupt}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:urgptr:replace:32585}(fragment{tcp:-1:False}(drop,),)-|",1,[-10]
-10.0,"[TCP:window:180]-tamper{TCP:flags:replace:R}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:2190547689]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-altchksum:replace:71}(tamper{TCP:options-timestamp:replace:2814898828},),)-|",1,[-10]
-10.0,"[TCP:load:]-fragment{tcp:-1:False}(,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,"[TCP:window:160:3]-duplicate(tamper{TCP:dport:replace:7217},)-|",1,[-10]
-10.0,[TCP:window:110]-duplicate-|,1,[-10]
-10.0,"[TCP:window:80]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:19642]-tamper{TCP:options-uto:replace:153}-|,1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:window:130]-duplicate(,tamper{TCP:load:replace:__HTTP_REQUEST__})-|",1,[-10]
-10.0,"[TCP:seq:2034971224]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:sport:replace:36901}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:dataofs:9]-tamper{TCP:options-sack:corrupt}(tamper{TCP:sport:replace:8325},)-|",1,[-10]
-10.0,"[TCP:chksum:63735]-tamper{TCP:options-eol:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:dataofs:6]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:32132}(duplicate,)-|[TCP:chksum:24314]-duplicate-|",1,[-10]
-10.0,"[TCP:options-mss:28712:0]-tamper{TCP:options-altchksum:replace:132}(tamper{TCP:urgptr:replace:11890},)-|",1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:urgptr:replace:37971}(tamper{TCP:flags:replace:FA},)-|",1,[-10]
-10.0,[TCP:seq:1418289394]-drop-|,1,[-10]
-10.0,[TCP:sport:21221]-drop-|,1,[-10]
-10.0,"[TCP:options-mss:25924]-duplicate(,tamper{TCP:seq:replace:2851366626})-|",1,[-10]
-10.0,"[TCP:options-altchksum:232]-fragment{tcp:-1:True}(duplicate(,tamper{TCP:chksum:corrupt}),tamper{TCP:options-wscale:replace:200})-|",1,[-10]
-10.0,[TCP:sport:44492:1]-drop-|,1,[-10]
-10.0,[TCP:chksum:29047]-tamper{TCP:ack:replace:2511636087}-|,1,[-10]
-10.0,"[TCP:options-timestamp:3758112858:1]-fragment{tcp:-1:False:1}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-wscale:175]-tamper{TCP:dataofs:replace:3}(tamper{TCP:urgptr:corrupt}(tamper{TCP:options-wscale:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-altchksum:207]-drop-|,1,[-10]
-10.0,"[TCP:options-altchksum:232]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:ack:2678802003]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:19]-fragment{tcp:-1:True}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1417746374:2]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:0]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-uto:161]-duplicate(duplicate,)-|",1,[-10]
