Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
"[TCP:options-nop:]-duplicate(drop,)-|",12.675,4,3.16875
"[TCP:flags:A]-fragment{tcp:-1:True}(duplicate,)-|",3.638,4,0.9095
[TCP:options-eol:]-tamper{TCP:ack:corrupt}-|,4.272,4,1.068
[TCP:flags:A:0]-|,36.467999999999996,4,9.116999999999999
[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}-|,1.5939999999999999,4,0.39849999999999997
[TCP:options-altchksumopt:]-tamper{TCP:chksum:corrupt}-|,0.0,4,0.0
"[TCP:options-altchksumopt:]-fragment{tcp:-1:False}(,duplicate)-|",3.8850000000000002,4,0.9712500000000001
"[TCP:options-sackok:]-duplicate(,fragment{tcp:-1:True})-|",3.654,4,0.9135
"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:True},)-|",3.621,4,0.90525
[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:corrupt}-|,1.8559999999999999,4,0.46399999999999997
[TCP:reserved:0]-fragment{tcp:-1:True}-|,2.293,4,0.57325
[TCP:options-altchksumopt:]-tamper{TCP:options-sack:replace:}-|,5.718999999999999,4,1.4297499999999999
[TCP:flags:A]-|,16.308,4,4.077
[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:corrupt}-|,3.159,4,0.78975
[TCP:flags:A]-drop-|,2.487,4,0.62175
[TCP:options-altchksumopt:]-tamper{TCP:urgptr:corrupt}-|,1.956,4,0.489
"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(duplicate,)-|",12.885,4,3.22125
[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}-|,20.186,4,5.0465
[TCP:reserved:4]-fragment{tcp:-1:True}-|,-27.621000000000002,4,-6.9052500000000006
[TCP:window:50]-duplicate-|,-37.6,4,-9.4
[TCP:load:__HTTP_REQUEST__]-duplicate-|,-46.232,4,-11.558
[TCP:dataofs:7]-duplicate-|,-37.358999999999995,4,-9.339749999999999
[TCP:options-sack:]-tamper{TCP:ack:corrupt}-|,4.237,4,1.05925
[TCP:options-nop:]-fragment{ip:-1:False:5}-|,1.643,4,0.41075
"[TCP:options-nop:]-tamper{TCP:load:corrupt}(duplicate,)-|",1.834,4,0.4585
