Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 0:44 1% (2h08m left); send: 570287 12.8 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:45 1% (2h07m left); send: 583601 13.3 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:46 1% (2h07m left); send: 598133 14.5 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:47 1% (2h07m left); send: 612027 13.9 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:48 1% (2h07m left); send: 625347 13.3 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:49 1% (2h07m left); send: 636990 11.6 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:50 1% (2h07m left); send: 649365 12.4 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:51 1% (2h07m left); send: 662189 12.8 Kp/s (13.0 Kp/s avg); recv: 148 146 p/s (2 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.02%
 0:52 1% (2h08m left); send: 673351 11.2 Kp/s (12.9 Kp/s avg); recv: 303 154 p/s (5 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.04%
 0:53 1% (2h08m left); send: 684576 11.2 Kp/s (12.9 Kp/s avg); recv: 450 146 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 0:54 1% (2h08m left); send: 695960 11.4 Kp/s (12.9 Kp/s avg); recv: 613 162 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 0:55 1% (2h08m left); send: 708675 12.7 Kp/s (12.9 Kp/s avg); recv: 785 171 p/s (14 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:56 1% (2h08m left); send: 719925 11.2 Kp/s (12.8 Kp/s avg); recv: 804 18 p/s (14 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:57 1% (2h08m left); send: 732252 12.3 Kp/s (12.8 Kp/s avg); recv: 804 0 p/s (14 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:58 1% (2h08m left); send: 744991 12.7 Kp/s (12.8 Kp/s avg); recv: 804 0 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
