Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::0]-|,1,[-1000]
-10.0,[TCP:ack:596153352]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:7278]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:load:ir8e4dfdrz]-tamper{TCP:options-wscale:replace:60}-|,1,[-10]
-10.0,"[TCP:dport:12463]-fragment{tcp:-1:True}(,tamper{TCP:options-timestamp:replace:2602612401}(duplicate,))-|",1,[-10]
-10.0,[TCP:window:70]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:2934153581]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:13:2]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:61626]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:63389]-fragment{tcp:-1:False}(tamper{TCP:chksum:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:flags:FRUN]-tamper{TCP:options-eol:corrupt}(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:dataofs:7]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:options-uto:replace:147}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,[TCP:window:110:1]-duplicate-|,1,[-10]
-10.0,[TCP:sport:13741]-drop-|,1,[-10]
-10.0,[TCP:seq:963497851]-drop-|,1,[-10]
-10.0,[TCP:chksum:44249:1]-tamper{TCP:seq:replace:3971762267}-|,1,[-10]
-10.0,"[TCP:ack:590103198]-tamper{TCP:dport:replace:17574}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:65119]-fragment{tcp:-1:True}(,duplicate(drop,))-|",1,[-10]
-10.0,"[TCP:options-wscale:65:3]-tamper{TCP:options-mss:corrupt}(drop,)-|[TCP:options-nop::2]-tamper{TCP:options-nop:replace:}-|",1,[-10]
-10.0,"[TCP:urgptr:65078]-tamper{TCP:options-wscale:replace:46}(duplicate,)-|[TCP:options-sack:]-tamper{TCP:seq:replace:3061696602}-|",1,[-10]
-10.0,"[TCP:seq:4256968866]-tamper{TCP:ack:replace:114755875}(duplicate(,tamper{TCP:sport:replace:6987}),)-|",1,[-10]
-10.0,"[TCP:sport:39797]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|[TCP:reserved:0]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-10]
-10.0,[TCP:options-wscale:0]-duplicate-|,1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:replace:132}(duplicate,)-|[TCP:chksum:21982:3]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:flags:FA]-fragment{tcp:-1:True}(,fragment{tcp:-1:True}(,duplicate))-|",1,[-10]
-10.0,[TCP:seq:4016995909:2]-drop-|,1,[-10]
-10.0,[TCP:dport:8042]-tamper{TCP:chksum:replace:51957}-|,1,[-10]
-10.0,[TCP:dataofs:4:2]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:14574]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:12]-tamper{TCP:ack:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3586889771]-tamper{TCP:urgptr:corrupt}(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:120]-fragment{ip:-1:True:5}(,duplicate)-|",1,[-10]
-10.0,"[TCP:ack:2296952594:1]-tamper{TCP:seq:corrupt}(tamper{TCP:dataofs:corrupt}(tamper{TCP:flags:replace:P},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:255]-tamper{TCP:options-eol:corrupt}(tamper{TCP:sport:replace:24920},)-|",1,[-10]
-10.0,"[TCP:chksum:56991]-tamper{TCP:options-altchksumopt:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:1592241303]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:F]-duplicate(,tamper{TCP:flags:replace:F})-|",1,[-10]
-10.0,"[TCP:reserved:4]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:options-mss:34262:3]-tamper{TCP:window:replace:40}-|,1,[-10]
-10.0,"[TCP:dataofs:11:1]-fragment{tcp:-1:False}(tamper{TCP:sport:replace:35404},)-|",1,[-10]
-10.0,[TCP:options-wscale:41]-drop-|,1,[-10]
-10.0,"[TCP:chksum:49930:4]-fragment{tcp:-1:False:3}(tamper{TCP:seq:replace:2858695265},)-|",1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:replace:3967425395}(tamper{TCP:reserved:replace:7},)-|[TCP:chksum:51966:4]-drop-|",1,[-10]
-10.0,"[TCP:seq:316510879]-duplicate(,tamper{TCP:dport:corrupt})-|",1,[-10]
-10.0,[TCP:seq:2763799219]-drop-|,1,[-10]
-10.0,"[TCP:options-md5header:7336ad01315bd6991982cb7305496b12]-duplicate(,tamper{TCP:window:replace:120})-|",1,[-10]
-10.0,"[TCP:options-timestamp:202859694:0]-fragment{tcp:-1:False:5}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:options-mss:58092]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:3697999078]-tamper{TCP:chksum:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:3:2]-duplicate(tamper{TCP:urgptr:replace:6495}(tamper{TCP:urgptr:replace:62950},),)-|",1,[-10]
-10.0,[TCP:options-wscale:33]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:reserved:7:0]-tamper{TCP:options-mss:replace:62970}-|,1,[-10]
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:254]-drop-|,1,[-10]
-10.0,[TCP:dataofs:2]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:121]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:1472985995]-fragment{tcp:19:False}(,drop)-|",1,[-10]
-10.0,"[TCP:options-md5header:90374edffc71dc4ee9c4745e50e8ccb0]-tamper{TCP:urgptr:replace:62189}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-uto:44]-fragment{tcp:-1:False}(tamper{TCP:options-altchksumopt:replace:}(drop,),)-|",1,[-10]
-10.0,"[TCP:dport:35749]-tamper{TCP:options-md5header:corrupt}(fragment{tcp:-1:False}(tamper{TCP:seq:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-uto:75]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,[TCP:chksum:50432]-duplicate-|,1,[-10]
-10.0,"[TCP:dport:50082]-tamper{TCP:options-timestamp:replace:446760716}(duplicate(tamper{TCP:options-nop:replace:},),)-|",1,[-10]
-10.0,"[TCP:sport:59339:0]-duplicate(duplicate,)-|[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}-|",1,[-10]
-10.0,[TCP:window:190]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:flags:R]-tamper{TCP:options-altchksum:replace:149}(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags:R]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:3607924014]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1172412548:0]-tamper{TCP:options-uto:replace:61}-|,1,[-10]
-10.0,"[TCP:urgptr:15997]-tamper{TCP:options-altchksum:replace:251}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,[TCP:dataofs:3]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:options-sackok:]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:ack:3391067436]-tamper{TCP:options-uto:corrupt}-|",1,[-10]
-10.0,"[TCP:options-altchksum:251]-duplicate(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,"[TCP:options-md5header:ef7f414f0cc93c31e67f7816f75fc710]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-wscale:208]-fragment{tcp:49:False:24}(tamper{TCP:ack:replace:1260134338},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:26705]-tamper{TCP:chksum:corrupt}(tamper{TCP:options-nop:corrupt}(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,"[TCP:dataofs:13]-tamper{TCP:options-uto:replace:76}(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:25266:2]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:options-wscale:41]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:15]-duplicate(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(fragment{tcp:-1:False}(tamper{TCP:chksum:replace:42548},),)-|",1,[-10]
-10.0,"[TCP:sport:40413]-tamper{TCP:seq:corrupt}(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,"[TCP:chksum:27740]-tamper{TCP:flags:corrupt}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:39659]-duplicate(,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,"[TCP:ack:2218669970:4]-tamper{TCP:seq:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:window:140]-tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-uto:200]-duplicate(tamper{TCP:options-altchksumopt:replace:},)-|",1,[-10]
-10.0,"[TCP:seq:1446371323:2]-fragment{tcp:-1:False}(fragment{tcp:-1:False}(,duplicate),)-|",1,[-10]
-10.0,[TCP:dataofs:10]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-uto:144]-tamper{TCP:options-nop:replace:}(tamper{TCP:chksum:replace:10348},)-|",1,[-10]
-10.0,[TCP:dataofs:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-md5header:e8f7949c6c6a369ff4dd4c5b112bd241]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:seq:1358543703:0]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:1472746055:4]-fragment{tcp:-1:False}(,duplicate)-|[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}-|",1,[-10]
-10.0,"[TCP:dport:63550:0]-tamper{TCP:dataofs:replace:9}(drop,)-|",1,[-10]
-10.0,[TCP:chksum:59345]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:44966]-duplicate(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:ejukg5vdaq]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:153:4]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:24]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:dataofs:7]-duplicate-|,1,[-10]
-10.0,"[TCP:window:20]-duplicate(duplicate(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,[TCP:sport:23839]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-md5header:688ae10a4baf1c2784f246e5d89fc6ad]-fragment{tcp:-1:True}(,tamper{TCP:load:corrupt}(duplicate,))-|",1,[-10]
-10.0,"[TCP:options-mss:4443]-tamper{TCP:options-wscale:replace:245}(fragment{tcp:-1:False}(tamper{TCP:options-timestamp:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:525965034]-fragment{tcp:-1:True}(tamper{TCP:options-altchksumopt:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:164]-fragment{tcp:-1:False}(fragment{ip:-1:False},)-|",1,[-10]
-10.0,[TCP:dataofs:9]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:flags:FA]-duplicate(duplicate,tamper{TCP:options-sack:corrupt})-|",1,[-10]
-10.0,[TCP:ack:1803180246:0]-drop-|,1,[-10]
-10.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(drop,)-|[TCP:sport:52625]-tamper{TCP:options-mss:replace:46522}-|",1,[-10]
-10.0,[TCP:ack:1162871374:2]-tamper{TCP:options-md5header:replace:87998e77b6cf3c78027236054db2f55e}-|,1,[-10]
-10.0,[TCP:urgptr:15128]-tamper{TCP:window:replace:40}-|,1,[-10]
-10.0,[TCP:sport:48410:4]-duplicate-|,1,[-10]
-10.0,[TCP:flags:FRPE]-drop-|,1,[-10]
-10.0,"[TCP:window:80]-duplicate(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:k5it2nosy8]-tamper{TCP:options-altchksum:replace:226}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,[TCP:flags:RAU:2]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:265841686]-drop-|[TCP:options-sackok:]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:window:170]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:64]-tamper{TCP:options-timestamp:replace:2076142535}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:30:0]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:flags:PA:1]-tamper{TCP:options-timestamp:corrupt}-|",1,[-10]
-10.0,"[TCP:options-timestamp:455241648]-tamper{TCP:options-sackok:replace:}(duplicate(tamper{TCP:urgptr:corrupt},),)-|[TCP:options-nop:]-tamper{TCP:reserved:corrupt}-|",1,[-10]
-10.0,"[TCP:load:dex8v6ckzt:0]-fragment{tcp:2:False:46}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:8a2d5188cec2193fa4cb0ced82bdd576]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:2787160347]-duplicate(,tamper{TCP:options-altchksum:replace:51})-|",1,[-10]
-10.0,"[TCP:load:gg9eg7fucc:3]-fragment{tcp:-1:False:40}(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,[TCP:options-md5header:e7c09f9feee8526e80f1ccbd5a64879a]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dataofs:12:4]-|[TCP:options-sack::1]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:flags:]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:flags:FPC]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:urgptr:41380]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,[TCP:options-wscale:73]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:dataofs:12:4]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,[TCP:seq:2582938875]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:3]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksumopt::1]-tamper{TCP:reserved:replace:7}(fragment{tcp:-1:True},)-|[TCP:options-wscale:32]-tamper{TCP:dataofs:corrupt}-|",1,[-10]
-10.0,[TCP:reserved:5]-tamper{TCP:seq:replace:4079324454}-|,1,[-10]
-10.0,[TCP:dataofs:3:3]-tamper{TCP:options-timestamp:replace:2200363111}-|,1,[-10]
-10.0,[TCP:load::1]-duplicate-|,1,[-10]
-10.0,[TCP:window:40]-drop-|,1,[-10]
-10.0,[TCP:options-mss:18776]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-md5header:3be4eb51770b450d8e6377da6f2b499f]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:44a9d1f17b7d71408ff8821e9ae2f89c]-duplicate-|,1,[-10]
-10.0,[TCP:sport:56008:2]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:ack:2362853574]-duplicate-|,1,[-10]
-10.0,[TCP:dport:12464]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:40997:1]-duplicate-|,1,[-10]
-10.0,[TCP:seq:2267538885]-duplicate-|,1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(fragment{tcp:19:True},)-|[TCP:dport:52215]-duplicate-|",1,[-10]
-10.0,[TCP:options-md5header:018e9e4ba9b5a0df1d203fa62ef178dc]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-altchksum:40:1]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:18579]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:6405:1]-duplicate-|,1,[-10]
-10.0,[TCP:dport:24137]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
