Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,"[TCP:options-wscale:50]-tamper{TCP:dataofs:corrupt}(tamper{TCP:dport:corrupt},)-|[TCP:window:110]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:options-md5header:c2a479e4063a77d426eb4c217aecbca1:4]-tamper{TCP:chksum:corrupt}-|[TCP:options-timestamp:118714866]-tamper{TCP:options-wscale:corrupt}-|,1,[-20]
-20.0,[TCP:load:__DNS_REQUEST__]-|[TCP:options-mss:63968:4]-tamper{TCP:options-md5header:replace:4e6fd2e1d20877d7b13674d043fef20c}-|,1,[-20]
-20.0,[TCP:options-altchksum:189:3]-|[TCP:load:bdm1u2k8r6]-tamper{TCP:window:replace:70}-|,1,[-20]
-20.0,[TCP:sport:54085]-|[TCP:options-wscale:225]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,[TCP:options-mss:64819:3]-|[TCP:reserved:2]-drop-|,1,[-20]
-10.0,"[TCP:options-md5header:7765f27d52d10e90f79814d5e8e119e8]-tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:options-timestamp:replace:253164243}(drop,)-|",1,[-10]
-10.0,"[TCP:options-wscale:162]-tamper{TCP:ack:replace:2091577452}(tamper{TCP:load:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:dport:20890]-tamper{TCP:options-wscale:replace:165}(drop,)-|",1,[-10]
-10.0,[TCP:seq:3688023596]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:36115]-tamper{TCP:options-mss:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:5]-fragment{ip:-1:False:5}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:22594]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-10]
-10.0,"[TCP:ack:148735383]-duplicate(,tamper{TCP:options-md5header:replace:53786574ef5a8eb8b7c88c21c57ed5f9})-|",1,[-10]
-10.0,"[TCP:load:b7uk319rk5:3]-duplicate(tamper{TCP:flags:replace:FSRPAECN},)-|",1,[-10]
-10.0,[TCP:flags:SUEN]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:A:1]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:sport:22064]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:window:100]-drop-|,1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3073507748]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:window:10]-tamper{TCP:options-altchksum:replace:122}(duplicate,)-|",1,[-10]
-10.0,[TCP:reserved:7]-duplicate-|,1,[-10]
-10.0,[TCP:sport:18599:4]-fragment{ip:-1:True}-|,1,[-10]
-10.0,"[TCP:dport:12601]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:window:corrupt}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:sport:8476]-tamper{TCP:seq:replace:3078964739}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:]-fragment{tcp:-1:False}(,duplicate)-|",1,[-10]
-10.0,"[TCP:sport:43814:4]-tamper{TCP:flags:corrupt}(fragment{tcp:-1:True}(tamper{TCP:options-nop:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:41]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-sackok:replace:}(tamper{TCP:ack:replace:1883788594},),)-|",1,[-10]
-10.0,"[TCP:sport:12131]-tamper{TCP:load:replace:__DNS_REQUEST__}(duplicate(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,"[TCP:seq:1078955259]-tamper{TCP:options-md5header:replace:5a56c2bf34ec08ecbb50118f4d9888fb}(duplicate(drop,),)-|",1,[-10]
-10.0,[TCP:sport:23834]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:37]-drop-|,1,[-10]
-10.0,"[TCP:options-eol::3]-duplicate(,drop)-|[TCP:seq:3756698686]-tamper{TCP:options-md5header:corrupt}-|",1,[-10]
-10.0,"[TCP:ack:244244219]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:40]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:981778905]-tamper{TCP:options-eol:replace:}(fragment{tcp:14:False:10},)-|",1,[-10]
-10.0,"[TCP:options-wscale:105:4]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:flags:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-uto:105]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FA]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:ack:571786334]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-eol:corrupt},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1458760940]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:FA]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:seq:corrupt}(tamper{TCP:seq:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1290954929]-tamper{TCP:flags:replace:FSUE}(fragment{tcp:-1:False}(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,[TCP:urgptr:40089:1]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:122]-duplicate(tamper{TCP:options-wscale:replace:130},)-|",1,[-10]
-10.0,"[TCP:reserved:7]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:reserved:replace:5},)-|",1,[-10]
-10.0,[TCP:dataofs:6:4]-tamper{TCP:flags:replace:SA}-|,1,[-10]
-10.0,[TCP:options-md5header:ddd7095788d111760f93dfb8cfeef182]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:183]-duplicate-|,1,[-10]
-10.0,"[TCP:dataofs:4]-tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:ack:corrupt}(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,[TCP:options-uto:200]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:sport:34129]-fragment{tcp:-1:True}(duplicate,tamper{TCP:options-wscale:replace:59})-|",1,[-10]
-10.0,[TCP:options-uto:72]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:4990]-duplicate(drop,duplicate)-|",1,[-10]
-10.0,[TCP:options-md5header:05187c3a33e995a0e60272901759bb1f:1]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:25915]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:62687]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:window:40]-tamper{TCP:reserved:replace:0}-|,1,[-10]
-10.0,"[TCP:options-altchksum:56:2]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:window:70:2]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:window:60]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-uto:29:1]-fragment{tcp:40:False:20}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-md5header:7b9437e307633ff1a897bd9326d526cb]-tamper{TCP:chksum:corrupt}-|",1,[-10]
-10.0,[TCP:options-mss:38380]-duplicate-|,1,[-10]
-10.0,[TCP:ack:2801579781]-duplicate-|,1,[-10]
