Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:options-md5header:775ed3d75067b2e26a60572d5e5c6cbd:4]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1557221068]-tamper{TCP:options-mss:replace:1868}(tamper{TCP:reserved:corrupt}(tamper{TCP:options-wscale:corrupt},),)-|",1,[-10]
-10.0,"[TCP:dport:4913]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:RACN]-fragment{tcp:-1:False}(fragment{tcp:-1:True},tamper{TCP:load:corrupt})-|",1,[-10]
-10.0,[TCP:reserved:4]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:2106895468]-tamper{TCP:options-altchksumopt:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:58116]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:sport:19239:2]-duplicate(tamper{TCP:options-mss:replace:2808},tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:options-wscale:96]-duplicate(tamper{TCP:seq:corrupt},duplicate)-|",1,[-10]
-10.0,[TCP:options-mss:9642]-drop-|,1,[-10]
-10.0,"[TCP:options-altchksum:89]-tamper{TCP:flags:replace:R}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:26688]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-uto:94]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:chksum:40461:0]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,"[TCP:flags:FSPAUECN:2]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,[TCP:options-md5header:3e73624447c5bddcba96d0d8d82f6122:2]-tamper{TCP:chksum:replace:4120}-|,1,[-10]
-10.0,[TCP:ack:3893261441]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:window:50]-duplicate-|,1,[-10]
