Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:options-altchksum:200:4]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:flags:FAUC]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,"[TCP:options-altchksum:51]-tamper{TCP:reserved:replace:3}(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-sackok::0]-fragment{tcp:52:False}-|,1,[-10]
-10.0,"[TCP:options-md5header:3d853f5fe55916c7ff64fe69adf134f7:2]-fragment{tcp:-1:False}(tamper{TCP:window:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-md5header:506adcf89bbb97e26f6229ece239ee04]-tamper{TCP:options-md5header:replace:5fb6e22e55319f9e5232201d9ed41f13}(fragment{tcp:-1:False}(drop,),)-|",1,[-10]
-10.0,"[TCP:ack:3834712047:1]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:urgptr:49054]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:44321]-tamper{TCP:seq:replace:1283616467}(tamper{TCP:load:replace:}(tamper{TCP:reserved:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-wscale:190]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:196]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:urgptr:62723]-tamper{TCP:dport:replace:64373}(tamper{TCP:ack:replace:1659856743},)-|",1,[-10]
-10.0,[TCP:reserved:6]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:sport:30427]-duplicate(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,[TCP:window:140]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:28218]-tamper{TCP:seq:replace:2520780224}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1293921987]-drop-|,1,[-10]
-10.0,"[TCP:seq:757320639]-fragment{tcp:-1:True}(duplicate,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,"[TCP:ack:1493767847]-tamper{TCP:options-altchksum:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-wscale:160]-duplicate-|,1,[-10]
-10.0,[TCP:ack:374703346]-drop-|,1,[-10]
-10.0,"[TCP:reserved:3]-tamper{TCP:window:corrupt}(tamper{TCP:options-wscale:replace:13}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:sport:60760:0]-tamper{TCP:chksum:replace:30404}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:39492:0]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:seq:replace:2216458304},),)-|",1,[-10]
-10.0,[TCP:window:100]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:replace:3010290269}(tamper{TCP:options-timestamp:replace:1626916927},)-|[TCP:options-timestamp:3874940328:1]-tamper{TCP:dport:replace:40861}-|",1,[-10]
-10.0,[TCP:ack:3222776281]-drop-|,1,[-10]
-10.0,"[TCP:options-md5header:70a77d26c34232b2960366b89f6b00d9]-fragment{tcp:-1:False}(drop,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:sport:57069]-fragment{tcp:-1:True}(tamper{TCP:chksum:replace:36603}(tamper{TCP:urgptr:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:604626470]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:ack:3005873711]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:199]-tamper{TCP:window:replace:130}(fragment{tcp:-1:False}(tamper{TCP:options-sackok:replace:},),)-|",1,[-10]
-10.0,"[TCP:chksum:31520]-tamper{TCP:sport:replace:50556}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:seq:4201604519]-duplicate(tamper{TCP:options-mss:replace:12325},)-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:chksum:replace:19162}(tamper{TCP:dataofs:replace:3},)-|",1,[-10]
-10.0,[TCP:flags:FPUC]-drop-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,[TCP:window:60]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,"[TCP:flags:FSRAEC]-tamper{TCP:options-mss:replace:36375}(tamper{TCP:chksum:replace:14297}(drop,),)-|",1,[-10]
-10.0,"[TCP:options-md5header:eaacb6fadfb3735dea5bcf685ff53571]-duplicate(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,[TCP:flags:RA]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:55]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:dataofs:replace:10}(duplicate(fragment{tcp:-1:True},),)-|[TCP:sport:28869]-tamper{TCP:options-nop:replace:}-|",1,[-10]
-10.0,[TCP:options-altchksum:182:2]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:4831]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:64205]-fragment{tcp:43:False:21}(tamper{TCP:options-eol:replace:},)-|",1,[-10]
-10.0,[TCP:urgptr:53349]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:220]-tamper{TCP:ack:corrupt}(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,[TCP:seq:2912834324]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:121]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:4]-fragment{tcp:-1:False}(tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:True},),tamper{TCP:dport:replace:64130})-|",1,[-10]
-10.0,"[TCP:options-uto:128]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:reserved:3:2]-tamper{TCP:dataofs:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dataofs:15]-drop-|,1,[-10]
-10.0,[TCP:options-uto:243]-drop-|,1,[-10]
-10.0,"[TCP:reserved:6]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,"[TCP:sport:59321:2]-tamper{TCP:flags:replace:FE}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-uto:105]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,[TCP:window:190]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:181]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-nop:]-duplicate-|",1,[-10]
-10.0,"[TCP:seq:853413984]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-nop:replace:}(tamper{TCP:ack:replace:3897618603},),)-|",1,[-10]
-10.0,[TCP:options-altchksum:51]-duplicate-|,1,[-10]
-10.0,"[TCP:options-sack::0]-tamper{TCP:options-md5header:replace:4fdf9afa936df30d75eba6aaf6d9f984}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:85]-tamper{TCP:dport:corrupt}(tamper{TCP:reserved:corrupt}(tamper{TCP:options-uto:replace:226},),)-|",1,[-10]
-10.0,"[TCP:dataofs:10]-tamper{TCP:options-timestamp:replace:1079480013}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:options-md5header:4627e67e1fa910d118b5acf833783f62]-tamper{TCP:options-uto:replace:118}-|,1,[-10]
-10.0,[TCP:sport:18266]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:3504266293]-tamper{TCP:urgptr:replace:37500}(fragment{ip:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:77:1]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:32812]-fragment{tcp:-1:True}(tamper{TCP:reserved:corrupt},)-|[TCP:options-sack:]-tamper{TCP:options-nop:corrupt}-|",1,[-10]
-10.0,"[TCP:dport:40768:0]-tamper{TCP:reserved:corrupt}(tamper{TCP:dataofs:corrupt},)-|[TCP:options-nop:]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:dataofs:replace:14}(duplicate,)-|[TCP:seq:232440909]-duplicate-|",1,[-10]
-10.0,"[TCP:flags:RA]-tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,"[TCP:options-mss:57294]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:reserved:1:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:seq:2320814007]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:36495]-tamper{TCP:flags:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:load:replace:__DNS_REQUEST__}(duplicate(,drop),)-|",1,[-10]
-10.0,[TCP:urgptr:16560]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,[TCP:ack:2312732562]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:replace:61452}(fragment{tcp:-1:False},)-|[TCP:options-altchksum:214]-tamper{TCP:options-mss:corrupt}-|",1,[-10]
-10.0,"[TCP:chksum:35464]-tamper{TCP:urgptr:corrupt}(tamper{TCP:window:corrupt},)-|[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}-|",1,[-10]
-10.0,[TCP:load:]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:6be94b4123cffa0d643292c46914a227]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:221]-tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:False:5},)-|",1,[-10]
-10.0,"[TCP:reserved:7]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-nop:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:urgptr:61334]-fragment{tcp:-1:True:5}-|,1,[-10]
-10.0,"[TCP:window:150]-fragment{tcp:-1:True}(tamper{TCP:options-eol:replace:},tamper{TCP:options-timestamp:corrupt})-|",1,[-10]
-10.0,"[TCP:options-timestamp:3420736152:4]-tamper{TCP:urgptr:replace:24148}(fragment{tcp:-1:True}(drop,),)-|",1,[-10]
-10.0,"[TCP:window:10]-duplicate(,tamper{TCP:ack:corrupt})-|",1,[-10]
