Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-md5header:2fb125aa3903dcabc0f8c3b868cb2a4a]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:19412}(fragment{tcp:-1:True},)-|[TCP:options-timestamp:1384722909]-tamper{TCP:window:corrupt}-|",1,[-10]
-10.0,"[TCP:load:5xrcoqy6qm]-tamper{TCP:dport:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:276398960]-fragment{tcp:27:True:13}-|,1,[-10]
-10.0,"[TCP:dport:49234]-tamper{TCP:ack:replace:1925341992}(drop,)-|",1,[-10]
-10.0,"[TCP:options-sack:]-fragment{tcp:-1:True}(,tamper{TCP:options-sack:replace:})-|[TCP:ack:2495674691]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:window:70]-duplicate(,tamper{TCP:seq:corrupt})-|",1,[-10]
-10.0,[TCP:options-wscale:90]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:212]-duplicate(,tamper{TCP:sport:replace:39564}(drop,))-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(duplicate,)-|[TCP:window:120]-tamper{TCP:options-timestamp:replace:26128168}-|",1,[-10]
-10.0,[TCP:dataofs:8]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-md5header:591d1b0b50c30351c0d27939b3e02969]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:58590]-tamper{TCP:dport:replace:48005}(drop,)-|",1,[-10]
-10.0,"[TCP:reserved:2:4]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:2980661878]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:188]-fragment{tcp:-1:False}(tamper{TCP:flags:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:sport:40638]-duplicate(tamper{TCP:window:replace:100},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:129]-tamper{TCP:ack:replace:3048800649}(duplicate,)-|",1,[-10]
-10.0,"[TCP:window:80:3]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:options-md5header:d40e9e0a4565338df824608ae8f9540e:1]-fragment{tcp:-1:False}(,tamper{TCP:options-altchksum:replace:120}(tamper{TCP:chksum:corrupt},))-|",1,[-10]
-10.0,[TCP:reserved:4]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:window:60:2]-tamper{TCP:options-mss:replace:457}-|,1,[-10]
-10.0,"[TCP:dataofs:12]-tamper{TCP:urgptr:replace:38549}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:window:60:0]-drop-|[TCP:options-eol:]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:urgptr:45722]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:41117]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:reserved:3]-tamper{TCP:options-uto:replace:7}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1551326680]-duplicate(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,[TCP:dataofs:7]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-timestamp:745179861:3]-duplicate(,tamper{TCP:ack:corrupt})-|",1,[-10]
