Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
0.0,[TCP:options-eol::0]-duplicate-|,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,"[TCP:options-sackok:]-duplicate(,duplicate)-|",9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,[TCP:options-nop::0]-duplicate-|,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1000.0,[TCP:options-sackok:]-|,10,"[-1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]"
-1000.0,[TCP:options-altchksumopt:]-|,11,"[-1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]"
-1000.0,[TCP:options-eol:]-|,11,"[-1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]"
-1000.0,[TCP:options-nop:]-|,11,"[-1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]"
-1000.0,[TCP:options-sack:]-|,12,"[-1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]"
0.0,"[TCP:options-sack:]-duplicate(duplicate,)-|",12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,[TCP:options-eol::0]-|,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,[TCP:options-altchksumopt:]-duplicate-|,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
