Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-duplicate-|[TCP:options-eol:]-tamper{TCP:window:corrupt}-|[TCP:flags:166]-duplicate-|,1,['-1000']
-1000.0,[TCP:options-sack:]-fragment{tcp:-1:False}-|[TCP:options-altchksum:249:1]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:corrupt}(duplicate(,tamper{TCP:load:corrupt}),)-|[TCP:options-nop:]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-nop:]-duplicate(duplicate,)-|[TCP:options-eol:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(duplicate,fragment{tcp:-1:False})-|",1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:143}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}(tamper{TCP:sport:corrupt}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}-|[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:False},),)-|",1,['-1000']
-1000.0,[TCP:ack:3969740949]-duplicate-|[TCP:options-nop:]-drop-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-sack:]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-altchksumopt:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(fragment{tcp:-1:True},tamper{TCP:options-mss:corrupt})-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dataofs:replace:10}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(,tamper{TCP:window:replace:20}(fragment{tcp:-1:False},))-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:replace:3326994888}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:181}(tamper{TCP:load:replace:__DNS_REQUEST__},)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt::0]-fragment{tcp:-1:False:5}-|[TCP:options-nop:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-tamper{TCP:flags:corrupt}-|,1,['-1000']
-1000.0,[TCP:load:]-tamper{TCP:sport:replace:61726}-|[TCP:options-altchksumopt:]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(,duplicate(tamper{TCP:options-sack:corrupt}(tamper{TCP:flags:corrupt},),))-|",1,['-1000']
-1000.0,"[TCP:load:]-|[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}-|[TCP:load:dcfibgqkzy]-duplicate(,duplicate(,duplicate))-|",1,['-1000']
-1000.0,[TCP:options-eol:]-tamper{TCP:options-uto:corrupt}-|[TCP:options-eol:]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}-|[TCP:options-sackok::0]-duplicate-|[TCP:options-sack::0]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:corrupt}(tamper{TCP:load:replace:__DNS_REQUEST__}(fragment{tcp:-1:False},),)-|[TCP:options-sack:]-duplicate(,tamper{TCP:load:corrupt})-|",1,['-1000']
-1000.0,[TCP:flags:S:0]-tamper{TCP:sport:corrupt}-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,[TCP:options-eol:]-fragment{tcp:43:False}-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:7}(tamper{TCP:sport:replace:25085}(tamper{TCP:options-eol:corrupt}(duplicate(tamper{TCP:flags:corrupt},),),),)-|",1,['-1000']
-1000.0,"[TCP:flags:98]-duplicate(fragment{tcp:27:False}(,tamper{TCP:options-uto:corrupt}),)-|",1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-eol:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:flags:S]-fragment{tcp:-1:True}-|[TCP:options-eol:]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:window:180:2]-duplicate-|,1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-nop:]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,[TCP:options-sack:]-tamper{TCP:urgptr:corrupt}-|[TCP:flags:43]-tamper{TCP:options-uto:replace:207}-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(duplicate,)-|[TCP:options-sack:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:load:w123sxhovi]-duplicate(tamper{TCP:load:corrupt}(tamper{TCP:dataofs:corrupt},),)-|[TCP:options-sackok:]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(fragment{tcp:-1:False},)-|[TCP:flags:S]-fragment{tcp:-1:False:8}-|[TCP:options-eol:]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:flags:S]-|[TCP:options-eol:]-tamper{TCP:flags:corrupt}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|[TCP:options-eol:]-tamper{TCP:dport:replace:11365}(fragment{tcp:-1:True},)-|[TCP:options-sack:]-tamper{TCP:options-altchksumopt:corrupt}-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-wscale:replace:221}(tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:False},),)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:204}(drop,)-|[TCP:load:]-tamper{TCP:options-sack:corrupt}-|[TCP:flags:149:3]-duplicate(,duplicate(,duplicate(duplicate,tamper{TCP:options-altchksumopt:replace:}(drop,))))-|",1,['-1000']
-1000.0,"[TCP:dataofs:3:0]-tamper{TCP:sport:corrupt}(tamper{TCP:chksum:corrupt}(tamper{TCP:sport:replace:53722},),)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,[TCP:flags:S:0]-duplicate-|[TCP:options-sackok::1]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-sack:]-duplicate(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:replace:3864333366}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:replace:20}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-altchksumopt:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,[TCP:options-sack:]-fragment{tcp:10:True:5}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:window:corrupt}(drop,),drop)-|",1,['-1000']
