Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:dataofs:5]-duplicate(tamper{TCP:load:corrupt},tamper{TCP:chksum:corrupt})-|",1,['-10']
-10.0,"[TCP:options-uto:80]-duplicate(,fragment{ip:-1:False:17})-|",1,['-10']
-10.0,"[TCP:options-uto:215]-tamper{TCP:options-wscale:replace:113}(fragment{tcp:-1:True},)-|",1,['-10']
-10.0,"[TCP:seq:419524240]-duplicate(,tamper{TCP:options-nop:corrupt})-|",1,['-10']
-10.0,[TCP:sport:29876]-tamper{TCP:reserved:corrupt}-|,1,['-10']
-10.0,"[TCP:dport:46794]-fragment{tcp:-1:False}(duplicate,)-|",1,['-10']
-10.0,[TCP:reserved:7:3]-duplicate-|,1,['-10']
-10.0,"[TCP:options-uto:88]-fragment{tcp:-1:True}(duplicate,)-|",1,['-10']
-10.0,"[TCP:dport:931]-tamper{TCP:window:replace:40}(fragment{tcp:-1:True},)-|[TCP:options-altchksumopt:]-fragment{tcp:-1:False}-|",1,['-10']
-10.0,"[TCP:options-uto:106:1]-duplicate(,duplicate)-|",1,['-10']
-10.0,[TCP:options-timestamp:3513305408:2]-tamper{TCP:flags:replace:R}-|,1,['-10']
-10.0,"[TCP:dataofs:8]-tamper{TCP:options-mss:replace:6741}(tamper{TCP:seq:corrupt},)-|",1,['-10']
-10.0,"[TCP:sport:19990:4]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-eol:replace:}(fragment{tcp:-1:False},),)-|",1,['-10']
-10.0,[TCP:options-wscale:62]-drop-|[TCP:reserved:0:0]-duplicate-|,1,['-10']
-10.0,"[TCP:dataofs:2]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-uto:replace:72},)-|",1,['-10']
-10.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}(tamper{TCP:urgptr:replace:10734},)-|[TCP:reserved:3]-tamper{TCP:load:corrupt}-|",1,['-10']
-10.0,[TCP:options-uto:95]-drop-|,1,['-10']
-10.0,[TCP:window:130]-tamper{TCP:dport:corrupt}-|,1,['-10']
-10.0,"[TCP:chksum:13515]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,['-10']
-10.0,[TCP:options-wscale:88]-duplicate-|,1,['-10']
-10.0,"[TCP:options-wscale:58]-tamper{TCP:flags:replace:SRPAN}(fragment{tcp:-1:True},)-|",1,['-10']
-10.0,[TCP:dport:63526]-tamper{TCP:reserved:replace:1}-|,1,['-10']
-10.0,"[TCP:options-uto:136:2]-duplicate(tamper{TCP:reserved:corrupt},)-|",1,['-10']
-10.0,"[TCP:flags::2]-tamper{TCP:dport:corrupt}(fragment{tcp:-1:False}(,fragment{tcp:-1:False}),)-|",1,['-10']
-10.0,[TCP:options-wscale:66:0]-duplicate-|,1,['-10']
-10.0,"[TCP:window:10]-fragment{tcp:-1:True}(,drop)-|",1,['-10']
-10.0,"[TCP:options-uto:244]-tamper{TCP:dport:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:urgptr:24931]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:ack:2225138391]-tamper{TCP:options-altchksum:replace:167}(tamper{TCP:options-wscale:corrupt},)-|",1,['-10']
-10.0,"[TCP:ack:3028842101]-fragment{tcp:-1:False}(tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-timestamp:replace:1770760698},),)-|",1,['-10']
-10.0,[TCP:urgptr:33717]-duplicate-|,1,['-10']
-10.0,"[TCP:options-wscale:211]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-eol:replace:},)-|",1,['-10']
-10.0,"[TCP:options-altchksum:16]-duplicate(duplicate,)-|",1,['-10']
-10.0,"[TCP:dataofs:4]-fragment{tcp:-1:True}(duplicate,)-|",1,['-10']
-10.0,[TCP:options-wscale:11]-duplicate-|,1,['-10']
-10.0,[TCP:urgptr:20844]-duplicate-|,1,['-10']
-10.0,"[TCP:options-nop::0]-duplicate(,tamper{TCP:reserved:replace:5})-|[TCP:urgptr:167]-duplicate-|",1,['-10']
-10.0,[TCP:dport:63349:2]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,"[TCP:dataofs:8]-duplicate(,fragment{tcp:-1:True})-|",1,['-10']
-10.0,[TCP:dataofs:1]-tamper{TCP:options-timestamp:corrupt}-|,1,['-10']
-10.0,"[TCP:sport:14221]-tamper{TCP:flags:replace:PCN}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-md5header:c505d6981da8fccc6ab4ba631037a51b:3]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:sport:replace:61541}(drop,),)-|",1,['-10']
-10.0,[TCP:ack:2866531345]-drop-|,1,['-10']
-10.0,"[TCP:dataofs:1:3]-fragment{tcp:-1:False}(drop,fragment{tcp:-1:True})-|",1,['-10']
-10.0,"[TCP:reserved:4]-fragment{tcp:-1:False}(duplicate,)-|",1,['-10']
-10.0,[TCP:dport:62168]-tamper{TCP:reserved:replace:6}-|,1,['-10']
-10.0,"[TCP:options-md5header:eb708e7fe9ac00b6f56d07a984f608b9]-tamper{TCP:options-sack:corrupt}(duplicate,)-|[TCP:options-eol:]-duplicate-|",1,['-10']
-10.0,[TCP:options-wscale:127]-tamper{TCP:load:replace:g6zky8ugtz}-|,1,['-10']
-10.0,"[TCP:options-wscale:167]-fragment{tcp:-1:False}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-altchksum:243]-duplicate(duplicate,)-|[TCP:options-nop:]-fragment{tcp:-1:False}-|",1,['-10']
-10.0,"[TCP:options-altchksum:100:2]-tamper{TCP:options-mss:corrupt}(tamper{TCP:sport:replace:34276},)-|",1,['-10']
-10.0,"[TCP:chksum:24208]-duplicate(,fragment{tcp:26:True})-|",1,['-10']
-10.0,"[TCP:options-mss:9148]-tamper{TCP:seq:replace:4160810972}(duplicate,)-|",1,['-10']
-10.0,"[TCP:ack:666627779]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:chksum:33400:3]-tamper{TCP:flags:corrupt}(tamper{TCP:options-mss:replace:1727}(tamper{TCP:options-sack:corrupt},),)-|",1,['-10']
-10.0,[TCP:options-altchksum:168]-duplicate-|,1,['-10']
-10.0,"[TCP:seq:4090018335]-fragment{tcp:-1:True}(drop,tamper{TCP:reserved:corrupt})-|",1,['-10']
-10.0,"[TCP:dport:56149]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-eol:corrupt},)-|",1,['-10']
-10.0,[TCP:chksum:35811:3]-drop-|,1,['-10']
-10.0,[TCP:sport:43166]-duplicate-|,1,['-10']
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(duplicate,)-|[TCP:dport:47925]-fragment{tcp:-1:False}-|",1,['-10']
-10.0,"[TCP:reserved:5]-duplicate(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-md5header:f0b284126e470e0fbf61aa0e554101df]-fragment{tcp:-1:True}(fragment{tcp:-1:False},tamper{TCP:chksum:corrupt})-|",1,['-10']
-10.0,"[TCP:window:70]-duplicate(,fragment{tcp:-1:True})-|",1,['-10']
-10.0,"[TCP:options-uto:123]-fragment{tcp:-1:False}(tamper{TCP:dport:corrupt}(duplicate,),)-|",1,['-10']
-10.0,"[TCP:flags:SRPUEC]-fragment{tcp:-1:True}(fragment{tcp:-1:False}(,fragment{tcp:-1:False}),)-|",1,['-10']
-10.0,"[TCP:options-timestamp:293082332]-duplicate(tamper{TCP:options-nop:replace:},)-|",1,['-10']
-10.0,"[TCP:chksum:52494]-tamper{TCP:ack:replace:3725785949}(tamper{TCP:options-nop:replace:}(tamper{TCP:dport:replace:47663},),)-|",1,['-10']
-10.0,[TCP:flags:RA]-duplicate-|,1,['-10']
-10.0,[TCP:load:__HTTP_REQUEST__]-drop-|,1,['-10']
-10.0,[TCP:options-timestamp:45812132]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:dataofs:2]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-mss:replace:5412},)-|",1,['-10']
-10.0,[TCP:load:__DNS_REQUEST__]-duplicate-|,1,['-10']
-10.0,[TCP:ack:439359859]-tamper{TCP:options-altchksumopt:corrupt}-|,1,['-10']
-10.0,[TCP:window:90]-tamper{TCP:load:replace:__DNS_REQUEST__}-|,1,['-10']
-10.0,[TCP:seq:3807995184]-tamper{TCP:options-uto:corrupt}-|,1,['-10']
