Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:urgptr:41082]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:replace:a6cb9c49e059ff1fbd42ca23252224a7},)-|",1,['-10']
-10.0,[TCP:seq:3847123201]-tamper{TCP:seq:replace:2118673399}-|,1,['-10']
-10.0,"[TCP:options-timestamp:1386318683]-tamper{TCP:options-mss:corrupt}(tamper{TCP:chksum:corrupt},)-|[TCP:options-nop:]-tamper{TCP:options-md5header:replace:384fa6a2116ee11519391757b5504a17}-|",1,['-10']
-10.0,"[TCP:dataofs:14]-tamper{TCP:options-sackok:replace:}(duplicate,)-|",1,['-10']
-10.0,[TCP:urgptr:4062:2]-drop-|,1,['-10']
-10.0,[TCP:seq:554294610]-tamper{TCP:seq:corrupt}-|,1,['-10']
-10.0,[TCP:options-mss:19125]-duplicate-|,1,['-10']
-10.0,"[TCP:sport:61317]-tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,[TCP:options-md5header:85d12753d0244c36c2447c26bd412e8b]-tamper{TCP:options-timestamp:corrupt}-|,1,['-10']
-10.0,[TCP:chksum:49715]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:ack:3985199832]-tamper{TCP:options-wscale:corrupt}-|,1,['-10']
-10.0,"[TCP:urgptr:52299]-tamper{TCP:window:replace:130}(tamper{TCP:dport:corrupt},)-|",1,['-10']
-10.0,[TCP:options-timestamp:2158422919]-duplicate-|,1,['-10']
-10.0,[TCP:options-altchksum:110:4]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:chksum:59851]-fragment{tcp:13:True}(duplicate,)-|",1,['-10']
-10.0,"[TCP:dport:54900]-duplicate(fragment{tcp:-1:True:9},)-|",1,['-10']
-10.0,[TCP:options-md5header:f27d31f84e0b446dc9eaf719f8743493]-tamper{TCP:sport:corrupt}-|,1,['-10']
-10.0,"[TCP:seq:2519436702:3]-tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False}(drop,),)-|",1,['-10']
-10.0,[TCP:urgptr:21040:3]-tamper{TCP:options-wscale:corrupt}-|,1,['-10']
-10.0,"[TCP:flags:FA:1]-duplicate(,fragment{tcp:-1:True})-|[TCP:options-sackok:]-tamper{TCP:dataofs:corrupt}-|",1,['-10']
-10.0,[TCP:seq:2980858410]-drop-|,1,['-10']
-10.0,"[TCP:seq:1379588816]-duplicate(,fragment{tcp:-1:False})-|",1,['-10']
-10.0,"[TCP:options-nop:]-tamper{TCP:flags:corrupt}(duplicate,)-|[TCP:options-mss:48205]-tamper{TCP:urgptr:replace:63996}-|",1,['-10']
-10.0,"[TCP:options-altchksum:94]-duplicate(fragment{tcp:39:False},)-|",1,['-10']
-10.0,"[TCP:options-wscale:106:0]-fragment{tcp:-1:True}(duplicate,tamper{TCP:options-md5header:corrupt})-|",1,['-10']
-10.0,[TCP:options-md5header:80c2d9ab753efa698180db080f953c0b]-tamper{TCP:dport:corrupt}-|,1,['-10']
-10.0,"[TCP:seq:1686866756]-tamper{TCP:reserved:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:options-wscale:206:0]-tamper{TCP:ack:corrupt}(tamper{TCP:reserved:replace:7}(duplicate,),)-|",1,['-10']
-10.0,"[TCP:dataofs:10]-fragment{tcp:-1:True}(duplicate,tamper{TCP:dataofs:corrupt})-|",1,['-10']
-10.0,"[TCP:options-uto:123:1]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(tamper{TCP:window:replace:140},),)-|",1,['-10']
-10.0,"[TCP:urgptr:37026]-fragment{tcp:-1:False}(,tamper{TCP:dport:replace:2386}(fragment{tcp:-1:False},))-|",1,['-10']
-10.0,"[TCP:chksum:33635]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:True},)-|",1,['-10']
-10.0,[TCP:options-wscale:51]-tamper{TCP:load:corrupt}-|,1,['-10']
-10.0,"[TCP:options-md5header:0a61c889e7fbed3e81eba238dd5f81f6]-tamper{TCP:sport:replace:26894}(duplicate,)-|",1,['-10']
-10.0,[TCP:reserved:6:3]-tamper{TCP:window:corrupt}-|,1,['-10']
-10.0,[TCP:options-wscale:21]-duplicate-|,1,['-10']
-10.0,"[TCP:dataofs:2:1]-fragment{tcp:-1:False}(,duplicate)-|",1,['-10']
-10.0,[TCP:options-mss:24767]-tamper{TCP:options-nop:corrupt}-|,1,['-10']
-10.0,[TCP:options-mss:39371:3]-duplicate-|,1,['-10']
-10.0,[TCP:ack:602511907]-tamper{TCP:ack:replace:1168947446}-|,1,['-10']
-10.0,[TCP:dataofs:3]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:options-uto:226:4]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(,duplicate),)-|",1,['-10']
-10.0,"[TCP:seq:542108046]-duplicate(,drop)-|",1,['-10']
-10.0,"[TCP:options-sack:]-duplicate(tamper{TCP:seq:replace:3469397166},)-|[TCP:urgptr:43411]-tamper{TCP:options-eol:corrupt}-|",1,['-10']
-10.0,[TCP:options-timestamp:1018527274]-tamper{TCP:options-wscale:replace:133}-|,1,['-10']
-10.0,"[TCP:urgptr:9472]-duplicate(,duplicate(tamper{TCP:ack:corrupt},))-|",1,['-10']
-10.0,"[TCP:dataofs:11]-duplicate(,tamper{TCP:options-wscale:corrupt})-|",1,['-10']
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-eol:corrupt}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-mss:40787]-fragment{tcp:-1:True}(,drop)-|",1,['-10']
-10.0,[TCP:seq:1641801940]-duplicate-|,1,['-10']
-10.0,"[TCP:dataofs:1]-tamper{TCP:options-nop:replace:}(duplicate(duplicate,),)-|",1,['-10']
-10.0,"[TCP:flags:SPAUEC]-fragment{tcp:21:True:18}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-uto:119]-duplicate(,tamper{TCP:options-nop:replace:})-|",1,['-10']
-10.0,"[TCP:dataofs:6]-duplicate(duplicate(,tamper{TCP:flags:replace:A}),)-|",1,['-10']
-10.0,"[TCP:ack:2885684247:2]-tamper{TCP:dataofs:replace:2}(drop,)-|",1,['-10']
-10.0,[TCP:seq:3192558749]-drop-|,1,['-10']
-10.0,"[TCP:options-timestamp:2569104990]-tamper{TCP:urgptr:replace:31800}(fragment{tcp:27:False:26},)-|",1,['-10']
-10.0,"[TCP:options-altchksum:236]-tamper{TCP:options-sack:replace:}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-sack:replace:},),)-|",1,['-10']
-10.0,[TCP:options-timestamp:3395378412]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:chksum:3606]-drop-|,1,['-10']
-10.0,"[TCP:options-mss:28688]-fragment{tcp:-1:True}(,tamper{TCP:options-eol:replace:})-|",1,['-10']
-10.0,[TCP:options-altchksum:165]-drop-|,1,['-10']
-10.0,"[TCP:options-uto:151]-duplicate(duplicate,tamper{TCP:sport:corrupt})-|",1,['-10']
-10.0,[TCP:options-timestamp:573670202:0]-drop-|,1,['-10']
-10.0,"[TCP:reserved:4]-fragment{tcp:-1:False}(duplicate,)-|",1,['-10']
-10.0,"[TCP:flags:RE:3]-tamper{TCP:flags:corrupt}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:dataofs:2]-tamper{TCP:seq:replace:386514065}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-mss:2373]-duplicate(duplicate,)-|",1,['-10']
